dataset,model,trained_loss,metric,mean_reconstruction_value,std_reconstruction_value,mean_clean_input_value,mean_model_seconds,mean_peak_memory_mb,num_rows
nmnist,pointnet_ae,temporal_weighted_chamfer,chamfer,0.00123,7.6984e-05,6.3003e-08,0.41238,151.503125,20
nmnist,pointnet_ae,temporal_weighted_chamfer,hausdorff,0.221995,0.01098,5.9952e-04,0.41238,151.503125,20
nmnist,pointnet_ae,temporal_weighted_chamfer,mse,0.103608,0.002839,0,0.41238,151.503125,20
nmnist,pointnet_ae,temporal_weighted_chamfer,temporal_weighted_chamfer,0.00123,7.6984e-05,6.3003e-08,0.41238,151.503125,20
nmnist,pointnetpp_ae,chamfer,chamfer,0.001369,7.7650e-05,6.3005e-08,0.582397,146.906445,20
nmnist,pointnetpp_ae,chamfer,hausdorff,0.228951,0.010682,5.9952e-04,0.582397,146.906445,20
nmnist,pointnetpp_ae,chamfer,mse,0.103353,0.002923,0,0.582397,146.906445,20
nmnist,pointnetpp_ae,chamfer,temporal_weighted_chamfer,0.001369,7.7650e-05,6.3005e-08,0.582397,146.906445,20
nmnist,pointnetpp_ae,density_aware_chamfer,chamfer,0.010479,0.001232,6.3003e-08,0.662136,146.906445,20
nmnist,pointnetpp_ae,density_aware_chamfer,hausdorff,0.504099,0.038962,5.9952e-04,0.662136,146.906445,20
nmnist,pointnetpp_ae,density_aware_chamfer,mse,0.112673,0.003529,0,0.662136,146.906445,20
nmnist,pointnetpp_ae,density_aware_chamfer,temporal_weighted_chamfer,0.010479,0.001232,6.3003e-08,0.662136,146.906445,20
nmnist,pointnetpp_ae,hausdorff,chamfer,0.00678,3.9342e-04,6.3003e-08,0.105381,146.906445,20
nmnist,pointnetpp_ae,hausdorff,hausdorff,0.202399,0.007986,5.9952e-04,0.105381,146.906445,20
nmnist,pointnetpp_ae,hausdorff,mse,0.128141,0.004006,0,0.105381,146.906445,20
nmnist,pointnetpp_ae,hausdorff,temporal_weighted_chamfer,0.00678,3.9342e-04,6.3003e-08,0.105381,146.906445,20
nmnist,pointnetpp_ae,temporal_weighted_chamfer,chamfer,0.001369,7.7708e-05,6.3005e-08,0.638914,146.906445,20
nmnist,pointnetpp_ae,temporal_weighted_chamfer,hausdorff,0.228964,0.010685,5.9952e-04,0.638914,146.906445,20
nmnist,pointnetpp_ae,temporal_weighted_chamfer,mse,0.103356,0.002923,0,0.638914,146.906445,20
nmnist,pointnetpp_ae,temporal_weighted_chamfer,temporal_weighted_chamfer,0.001369,7.7708e-05,6.3005e-08,0.638914,146.906445,20
